workflow_name,branch,start_time,duration
Links,main,2026-04-30T11:31:57Z,21000
Linting,main,2026-04-30T11:31:57Z,124000
Linting,links,2026-04-30T11:29:13Z,150000
Links,links,2026-04-30T11:29:13Z,20000
Linting,main,2026-04-30T11:23:15Z,127000
Linting,main,2026-04-30T11:22:12Z,116000
Copilot code review,refs/pull/19/head,2026-04-30T11:11:27Z,161000
Linting,prek,2026-04-30T11:11:27Z,215000
Copilot code review,refs/pull/17/head,2026-04-30T10:53:27Z,100000
Dummy,github-action,2026-04-30T10:39:31Z,11000
Copilot code review,refs/pull/15/head,2026-04-30T10:25:52Z,91000
Copilot code review,refs/pull/14/head,2026-04-30T10:24:08Z,93000
Addressing comment on PR #12,all-contributors/add-sjavis,2026-04-30T10:13:24Z,172000
Addressing comment on PR #11,all-contributors/add-jeremyestein,2026-04-30T10:11:13Z,84000
Addressing comment on PR #8,all-contributors/add-dpshelio,2026-04-30T10:09:03Z,133000
Addressing comment on PR #12,all-contributors/add-sjavis,2026-04-30T10:08:16Z,302000
Addressing comment on PR #11,all-contributors/add-jeremyestein,2026-04-30T10:08:07Z,180000
Addressing comment on PR #10,all-contributors/add-jyoti-bhogal,2026-04-30T10:04:55Z,178000
Addressing comment on PR #9,all-contributors/add-cstawitz,2026-04-30T10:04:48Z,165000
Addressing comment on PR #8,all-contributors/add-dpshelio,2026-04-30T10:04:41Z,179000
Addressing comment on PR #7,all-contributors/add-20DM,2026-04-30T10:04:31Z,172000
Addressing comment on PR #5,all-contributors/add-dleggat,2026-04-30T10:00:33Z,174000
